ASIN,Title,Brand Name,Design Style,Category,Metal Color,Metal Type,Stone Type,Stone Shape,Carat,Price,Star Rating,Global Rating,Image URL,Product URL,Metal Info,Price_HKD
B0FGF81RYH,14K White Gold Engagement Ring 3CT Radiant Cut Moissanite Rings 14K Gold Moissanite Engagement Ring for Women,N/A,engagement,ring,white/yellow/rose,14k,moissanite,radiant,3ct,389.99,4.9,23,https://m.media-amazon.com/images/I/71lxf0LU5RL._AC_UL320_.jpg,https://www.amazon.com/dp/B0FGF81RYH,14k / white gold,3041.92
B0DP4V8JX6,"14K White Gold Moissanite Engagement Ring, 4CT 8x10mm Radiant Cut Engagement Rings, 14K Gold Moissanite Ring for Women",N/A,engagement,ring,white/yellow/rose,14k,moissanite,radiant,4ct,389.99,4.8,9,https://m.media-amazon.com/images/I/710JKrWN2sL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DP4V8JX6,14k / white gold,3041.92
B0DP4V8JX6,"14K White Gold Moissanite Engagement Ring, 4CT 8x10mm Radiant Cut Engagement Rings, 14K Gold Moissanite Ring for Women",N/A,engagement,ring,white/yellow/rose,14k,moissanite,radiant,4ct,389.99,4.8,9,https://m.media-amazon.com/images/I/710JKrWN2sL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DP4V8JX6,14k / white gold,3041.92
B0F48GX4ZQ,"14K Yellow Gold Moissanite rings, 2CT Oval Cut Moissanite Engagement Ring, 14K Gold Hidden Halo Moissanite Rings for Women",N/A,engagement,ring,white/yellow/rose,14k,moissanite,oval,2ct,389.99,4.9,23,https://m.media-amazon.com/images/I/712CaKryz8L._AC_UL320_.jpg,https://www.amazon.com/dp/B0F48GX4ZQ,14k / yellow gold,3041.92
B0F48GX4ZQ,"14K Yellow Gold Moissanite rings, 2CT Oval Cut Moissanite Engagement Ring, 14K Gold Hidden Halo Moissanite Rings for Women",N/A,engagement,ring,white/yellow/rose,14k,moissanite,oval,2ct,389.99,4.9,23,https://m.media-amazon.com/images/I/712CaKryz8L._AC_UL320_.jpg,https://www.amazon.com/dp/B0F48GX4ZQ,14k / yellow gold,3041.92
B0F1TLRH9F,14K White Gold Engagement Ring 3CT Radiant Cut Moissanite Rings 14K Gold Moissanite Engagement Ring for Women,N/A,engagement,ring,white/yellow/rose,14k,moissanite,radiant,3ct,389.99,4.9,23,https://m.media-amazon.com/images/I/7158cegHstL._AC_UL320_.jpg,https://www.amazon.com/dp/B0F1TLRH9F,14k / white gold,3041.92
B0DD3R1FRH,"AFFY Bridal Set Rings For Women, 1.00 Carat (ctw) Lab Grown Diamond Halo Wedding Engagement Ring Set In 14K Gold Over Sterling Silver, 10K Or 14K Solid Gold Jewelry Gifts For Her",AFFY,engagement,ring,14k gold plated,925,lab grown diamond,N/A,1.00 carat,384.99,5,8,https://m.media-amazon.com/images/I/71pX4n+PDHL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DD3R1FRH,10k / gold over sterling silver,3002.92
B0DD37VTJN,"MSBLUE Moissanite Engagement Ring, 1.0-3.0 CT Cinderella Staircase Princess Cut, 14K Gold Vermeil, Rhodium Finish",MSBLUE,engagement,ring,14k gold plated,925,moissanite,princess,1.0-3.0 ct,379,4.5,4,https://m.media-amazon.com/images/I/517KnvHgcFL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DD37VTJN,14k / gold,2956.2
B0F1T7R7T6,14K Gold Moissanite Ring 14K White Gold Twisted Ring 2CT Round Cut Engagement Ring Solitaire Moissanite Engagement Ring for Women,N/A,solitaire,ring,white/yellow/rose,14k,moissanite,round,2ct,369.99,4.8,14,https://m.media-amazon.com/images/I/71ble-cLamL._AC_UL320_.jpg,https://www.amazon.com/dp/B0F1T7R7T6,14k / white gold,2885.92
B0F1T7RVG3,14K Gold Moissanite Ring 14K White Gold Twisted Ring 2CT Round Cut Engagement Ring Solitaire Moissanite Engagement Ring for Women,N/A,solitaire,ring,white/yellow/rose,14k,moissanite,round,2ct,369.99,4.8,14,https://m.media-amazon.com/images/I/71ble-cLamL._AC_UL320_.jpg,https://www.amazon.com/dp/B0F1T7RVG3,14k / white gold,2885.92
B0FD833TH9,14K Gold Moissanite Ring 14K White Gold Twisted Ring 2CT Round Cut Engagement Ring Solitaire Moissanite Engagement Ring for Women,N/A,solitaire,ring,white/yellow/rose,14k,moissanite,round,2ct,369.99,4.8,14,https://m.media-amazon.com/images/I/71ble-cLamL._AC_UL320_.jpg,https://www.amazon.com/dp/B0FD833TH9,14k / white gold,2885.92
B0D5JJ2XV7,THELANDA 14k White Gold All Princess Cut Genuine Moissanite or Simulated Diamond Three Stones Engagement Ring 2CT Main Stone,THELANDA,engagement,ring,white/yellow/rose,14k,simulated diamond,princess,2ct,364.99,4.6,69,https://m.media-amazon.com/images/I/71IPuUdPKRL._AC_UL320_.jpg,https://www.amazon.com/dp/B0D5JJ2XV7,14k / white gold,2846.92
B07TTJ5XL1,1/5 Carat Diamond Engagement Rings in 10K Gold,N/A,engagement,ring,white/yellow/rose,10k,diamond,N/A,1/5 carat,359.99,4.5,55,https://m.media-amazon.com/images/I/61oGy1R4qwL._AC_UL320_.jpg,https://www.amazon.com/dp/B07TTJ5XL1,10k / gold,2807.92
B07TTJ5XL1,1/5 Carat Diamond Engagement Rings in 10K Gold,N/A,engagement,ring,white/yellow/rose,10k,diamond,N/A,1/5 carat,359.99,4.5,55,https://m.media-amazon.com/images/I/61oGy1R4qwL._AC_UL320_.jpg,https://www.amazon.com/dp/B07TTJ5XL1,10k / gold,2807.92
B0DMFCYD2M,"AGVANA Vows in Brilliance 0.4-1.2 Ct. Tw. Lab Grown Diamond Solitaire Ring in Sterling Silver (0.3-1 Carat Main Stone) Engagement Promise Anniversary Wedding Ring for Women (D-E Color, VS Clarity)",AGVANA,solitaire,ring,silver,925,lab grown diamond,N/A,"0.4-1.2 ct, 0.3-1 carat",349,,,https://m.media-amazon.com/images/I/51ET4iwbMbL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DMFCYD2M,N/A / silver,2722.2
B0F7J3LWZG,"14K Gold Moissanite Rings, 14K Gold Moissanite Engagement Ring, 1ct Round Moissanite Rings for Women",N/A,engagement,ring,white/yellow/rose,14k,moissanite,round,1ct,329.99,4.9,18,https://m.media-amazon.com/images/I/61-Y4yE68OL._AC_UL320_.jpg,https://www.amazon.com/dp/B0F7J3LWZG,14k / gold,2573.92
B08NJTYWWB,"Lab Grown Diamond Wedding Bands for Women | 10K Yellow, White and Rose Gold Certified 1/10-1/2 Carat Milgrain Diamond Anniversary Bands, Promise Rings and Stackable Bands",Lab,anniversary,ring,white/yellow/rose,10k,lab grown diamond,N/A,1/10-1/2 carat,329.99,4.4,335,https://m.media-amazon.com/images/I/71NFUfs6+wL._AC_UL320_.jpg,https://www.amazon.com/dp/B08NJTYWWB,10k / rose gold,2573.92
B0DHRWJ3R1,"14K White Gold Moissanite Engagement Rings, 14K 2 Carat Cushion Cut Moissanite Ring, 2ct Cushion Cut Halo Engagement Ring",N/A,engagement,ring,white/yellow/rose,14k,moissanite,cushion,"2 carat, 2ct",325.99,4.9,22,https://m.media-amazon.com/images/I/71vp31vs47L._AC_UL320_.jpg,https://www.amazon.com/dp/B0DHRWJ3R1,14k / white gold,2542.72
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,https://www.amazon.com/dp/,N/A / N/A,
B0DHRVQFKL,"14K White Gold Moissanite Engagement Rings, 14K 2 Carat Cushion Cut Moissanite Ring, 2ct Cushion Cut Halo Engagement Ring",N/A,engagement,ring,white/yellow/rose,14k,moissanite,cushion,"2 carat, 2ct",325.99,4.9,22,https://m.media-amazon.com/images/I/71vp31vs47L._AC_UL320_.jpg,https://www.amazon.com/dp/B0DHRVQFKL,14k / white gold,2542.72
